ts_ns,open,high,low,close,volume
1754092800000000000,21000.00,21001.94,20999.09,21000.95,75.4
1754092860000000000,21000.95,21004.16,20998.75,20999.07,227.6
1754092920000000000,20999.07,20999.29,20996.47,20996.66,81.7
1754092980000000000,20996.66,20999.21,20991.70,20992.63,128.1
1754093040000000000,20992.63,20996.40,20986.95,20992.40,188.8
1754093100000000000,20992.40,20998.26,20992.12,20997.39,151.4
1754093160000000000,20997.39,20998.25,20996.68,20997.17,335.6
1754093220000000000,20997.17,20998.25,20993.68,20996.60,180.3
1754093280000000000,20996.60,20999.89,20996.22,20996.44,122.1
1754093340000000000,20996.44,21000.52,20993.88,20995.96,254.9
1754093400000000000,20995.96,20998.68,20994.17,20997.75,294.6
1754093460000000000,20997.75,20999.22,20994.31,20996.89,356.3
1754093520000000000,20996.89,21001.26,20995.16,21001.14,91.3
1754093580000000000,21001.14,21003.65,20996.60,20997.67,221.1
1754093640000000000,20997.67,20997.91,20993.66,20996.91,250.6
1754093700000000000,20996.91,21002.16,20995.03,20999.99,258.0
1754093760000000000,20999.99,21003.47,20997.25,21002.47,380.6
1754093820000000000,21002.47,21005.32,20998.49,20998.90,295.5
1754093880000000000,20998.90,21002.78,20992.94,21001.03,149.6
1754093940000000000,21001.03,21003.35,20997.02,20997.16,211.6
1754094000000000000,20997.16,20998.17,20996.46,20996.56,318.9
1754094060000000000,20996.56,20997.34,20995.07,20995.96,355.0
1754094120000000000,20995.96,20996.44,20993.26,20995.01,359.2
1754094180000000000,20995.01,20999.93,20989.83,20992.64,195.4
1754094240000000000,20992.64,20994.79,20987.33,20994.48,102.8
1754094300000000000,20994.48,20995.53,20993.08,20993.66,219.7
1754094360000000000,20993.66,20997.19,20992.08,20992.10,196.6
1754094420000000000,20992.10,20994.32,20988.70,20994.05,291.7
1754094480000000000,20994.05,20997.14,20990.35,20994.94,68.9
1754094540000000000,20994.94,21000.34,20990.26,20999.08,329.3
1754094600000000000,20999.08,21001.43,20996.68,20997.17,272.0
1754094660000000000,20997.17,20997.55,20996.77,20996.93,106.8
1754094720000000000,20996.93,20998.97,20996.62,20996.62,102.9
1754094780000000000,20996.62,20997.23,20994.44,20994.51,356.0
1754094840000000000,20994.51,20998.19,20993.62,20994.77,171.6
1754094900000000000,20994.77,20996.95,20994.03,20996.51,397.6
1754094960000000000,20996.51,20999.31,20993.61,20994.10,85.8
1754095020000000000,20994.10,20996.16,20992.51,20995.53,106.5
1754095080000000000,20995.53,20995.67,20989.83,20992.91,101.3
1754095140000000000,20992.91,20996.17,20992.75,20994.56,392.5
1754095200000000000,20994.56,20999.74,20990.38,20992.82,178.3
1754095260000000000,20992.82,20993.83,20988.19,20991.19,322.7
1754095320000000000,20991.19,20993.17,20989.85,20992.55,394.7
1754095380000000000,20992.55,20997.66,20987.71,20995.85,309.0
1754095440000000000,20995.85,20997.21,20992.75,20994.34,60.1
1754095500000000000,20994.34,20994.50,20992.66,20993.14,292.4
1754095560000000000,20993.14,20998.88,20990.45,20998.35,395.8
1754095620000000000,20998.35,21004.08,20996.16,20997.90,129.4
1754095680000000000,20997.90,20999.08,20996.68,20998.18,365.1
1754095740000000000,20998.18,21003.22,20995.30,21000.47,329.9
1754095800000000000,21000.47,21000.98,20996.51,21000.58,323.8
1754095860000000000,21000.58,21005.08,20997.71,20999.03,326.2
1754095920000000000,20999.03,21001.02,20994.22,21000.83,188.5
1754095980000000000,21000.83,21003.24,20995.15,21001.01,109.5
1754096040000000000,21001.01,21001.77,21000.10,21001.61,332.3
1754096100000000000,21001.61,21002.49,20996.66,21002.38,280.0
1754096160000000000,21002.38,21004.48,20999.08,20999.79,55.0
1754096220000000000,20999.79,21005.62,20995.89,21001.01,376.8
1754096280000000000,21001.01,21003.62,20995.78,21002.25,123.9
1754096340000000000,21002.25,21003.77,21000.50,21001.28,255.3
1754096400000000000,21001.28,21002.84,20998.77,20999.30,368.5
1754096460000000000,20999.30,21001.42,20996.55,20999.39,366.5
1754096520000000000,20999.39,21001.92,20993.89,20997.92,236.1
1754096580000000000,20997.92,21001.06,20997.80,20999.24,114.1
1754096640000000000,20999.24,20999.26,20994.44,20995.27,215.7
1754096700000000000,20995.27,20999.62,20991.93,20994.44,231.4
1754096760000000000,20994.44,20997.77,20989.73,20990.59,246.1
1754096820000000000,20990.59,20992.08,20988.93,20991.36,227.7
1754096880000000000,20991.36,20994.73,20986.80,20994.04,205.1
1754096940000000000,20994.04,20997.71,20991.00,20994.44,292.5
1754097000000000000,20994.44,20997.15,20991.24,20994.07,379.5
1754097060000000000,20994.07,20998.26,20988.81,20997.71,140.9
1754097120000000000,20997.71,21001.07,20992.06,20999.63,98.0
1754097180000000000,20999.63,21000.36,20996.98,20997.22,134.2
1754097240000000000,20997.22,20997.66,20993.21,20996.70,364.0
1754097300000000000,20996.70,20997.62,20992.40,20995.85,100.0
1754097360000000000,20995.85,21001.15,20990.04,20992.48,383.4
1754097420000000000,20992.48,20994.87,20989.56,20994.82,341.4
1754097480000000000,20994.82,20995.79,20992.23,20994.06,168.7
1754097540000000000,20994.06,20995.24,20992.15,20994.38,56.8
1754097600000000000,20994.38,20997.71,20991.74,20991.85,166.0
1754097660000000000,20991.85,20995.59,20988.77,20989.21,394.8
1754097720000000000,20989.21,20993.94,20983.38,20984.49,142.9
1754097780000000000,20984.49,20984.72,20979.81,20981.14,95.3
1754097840000000000,20981.14,20983.68,20975.67,20982.23,140.5
1754097900000000000,20982.23,20983.12,20976.71,20980.37,295.1
1754097960000000000,20980.37,20980.91,20980.02,20980.63,198.9
1754098020000000000,20980.63,20981.07,20975.00,20978.85,330.6
1754098080000000000,20978.85,20979.35,20973.71,20974.09,352.0
1754098140000000000,20974.09,20976.81,20972.05,20974.68,374.3
1754098200000000000,20974.68,20976.29,20973.91,20975.16,133.5
1754098260000000000,20975.16,20975.82,20974.20,20974.28,120.6
1754098320000000000,20974.28,20976.15,20972.45,20975.26,151.5
1754098380000000000,20975.26,20978.26,20974.19,20975.60,56.4
1754098440000000000,20975.60,20977.11,20975.51,20976.68,242.9
1754098500000000000,20976.68,20977.82,20973.83,20977.56,87.2
1754098560000000000,20977.56,20982.47,20974.96,20978.68,342.1
1754098620000000000,20978.68,20981.04,20975.64,20979.35,393.9
1754098680000000000,20979.35,20981.41,20974.36,20979.34,272.6
1754098740000000000,20979.34,20981.77,20977.25,20977.50,95.4
1754098800000000000,20977.50,20977.92,20973.05,20974.30,107.1
1754098860000000000,20974.30,20974.81,20969.25,20974.09,284.7
1754098920000000000,20974.09,20975.78,20972.63,20973.56,210.8
1754098980000000000,20973.56,20974.50,20970.88,20971.83,386.6
1754099040000000000,20971.83,20977.67,20968.55,20970.78,388.0
1754099100000000000,20970.78,20972.64,20968.64,20968.65,183.6
1754099160000000000,20968.65,20971.49,20965.63,20966.81,226.7
1754099220000000000,20966.81,20966.84,20965.22,20965.37,189.8
1754099280000000000,20965.37,20965.62,20965.23,20965.35,131.5
1754099340000000000,20965.35,20968.86,20962.17,20967.19,280.1
1754099400000000000,20967.19,20971.49,20961.92,20965.65,164.1
1754099460000000000,20965.65,20971.56,20964.75,20969.68,275.1
1754099520000000000,20969.68,20969.94,20964.67,20969.37,269.6
1754099580000000000,20969.37,20973.77,20964.50,20965.79,233.3
1754099640000000000,20965.79,20968.82,20960.78,20967.25,339.2
1754099700000000000,20967.25,20970.75,20961.89,20967.94,292.7
1754099760000000000,20967.94,20969.32,20967.75,20967.96,176.2
1754099820000000000,20967.96,20968.59,20962.95,20966.10,269.7
1754099880000000000,20966.10,20969.86,20962.02,20965.85,51.2
1754099940000000000,20965.85,20970.64,20961.36,20966.03,237.3
1754100000000000000,20966.03,20969.99,20965.63,20968.84,138.3
1754100060000000000,20968.84,20969.29,20967.25,20968.73,121.8
1754100120000000000,20968.73,20973.17,20962.88,20967.96,183.9
1754100180000000000,20967.96,20970.84,20963.86,20969.21,265.9
1754100240000000000,20969.21,20973.07,20968.75,20969.38,138.9
1754100300000000000,20969.38,20973.84,20967.56,20971.13,54.4
1754100360000000000,20971.13,20971.49,20969.51,20970.84,292.3
1754100420000000000,20970.84,20974.90,20969.10,20972.09,212.6
1754100480000000000,20972.09,20974.89,20971.38,20974.52,119.7
1754100540000000000,20974.52,20980.39,20968.90,20969.10,210.6
1754100600000000000,20969.10,20974.02,20963.29,20968.11,144.0
1754100660000000000,20968.11,20969.37,20962.44,20963.90,253.5
1754100720000000000,20963.90,20964.75,20960.76,20964.56,96.4
1754100780000000000,20964.56,20969.48,20961.51,20968.58,296.2
1754100840000000000,20968.58,20969.97,20963.20,20966.49,58.7
1754100900000000000,20966.49,20966.51,20963.54,20964.88,155.7
1754100960000000000,20964.88,20965.72,20962.82,20963.73,344.1
1754101020000000000,20963.73,20963.74,20959.23,20963.02,92.0
1754101080000000000,20963.02,20968.58,20958.74,20967.61,151.4
1754101140000000000,20967.61,20969.84,20965.25,20969.84,256.2
1754101200000000000,20969.84,20972.00,20967.27,20968.57,66.9
1754101260000000000,20968.57,20969.18,20963.56,20965.17,377.5
1754101320000000000,20965.17,20966.66,20963.57,20965.15,116.4
1754101380000000000,20965.15,20967.39,20959.41,20966.47,334.2
1754101440000000000,20966.47,20970.25,20960.99,20969.70,242.2
1754101500000000000,20969.70,20974.02,20969.41,20972.79,207.8
1754101560000000000,20972.79,20977.30,20968.92,20971.32,67.1
1754101620000000000,20971.32,20976.88,20970.56,20973.54,170.3
1754101680000000000,20973.54,20975.33,20969.11,20975.18,141.1
1754101740000000000,20975.18,20979.12,20973.38,20976.58,188.0
1754101800000000000,20976.58,20977.58,20975.61,20976.02,367.1
1754101860000000000,20976.02,20979.00,20974.70,20978.60,398.8
1754101920000000000,20978.60,20981.29,20977.76,20978.44,81.8
1754101980000000000,20978.44,20980.49,20977.89,20978.51,140.4
1754102040000000000,20978.51,20981.93,20973.19,20979.74,194.5
1754102100000000000,20979.74,20982.23,20976.60,20978.72,168.4
1754102160000000000,20978.72,20979.09,20977.05,20979.02,94.1
1754102220000000000,20979.02,20982.05,20975.25,20981.11,125.6
1754102280000000000,20981.11,20982.74,20979.62,20980.87,206.1
1754102340000000000,20980.87,20986.59,20975.78,20985.22,57.6
1754102400000000000,20985.22,20985.41,20980.96,20984.95,215.6
1754102460000000000,20984.95,20988.47,20984.95,20986.33,374.4
1754102520000000000,20986.33,20991.28,20981.19,20991.00,137.0
1754102580000000000,20991.00,20991.65,20990.07,20990.90,288.7
1754102640000000000,20990.90,20996.55,20986.57,20993.03,317.7
1754102700000000000,20993.03,20995.77,20989.72,20989.96,323.8
1754102760000000000,20989.96,20991.35,20984.44,20988.90,156.3
1754102820000000000,20988.90,20989.67,20987.39,20988.84,294.5
1754102880000000000,20988.84,20989.51,20988.42,20988.99,254.0
1754102940000000000,20988.99,20991.32,20987.65,20989.86,53.7
1754103000000000000,20989.86,20991.67,20987.09,20991.48,275.6
1754103060000000000,20991.48,20996.78,20988.63,20990.54,136.5
1754103120000000000,20990.54,20996.31,20986.31,20989.39,57.6
1754103180000000000,20989.39,20992.37,20985.34,20988.29,140.0
1754103240000000000,20988.29,20992.30,20982.74,20984.91,61.9
1754103300000000000,20984.91,20986.94,20982.39,20985.49,119.3
1754103360000000000,20985.49,20990.28,20981.06,20985.71,121.8
1754103420000000000,20985.71,20991.53,20983.84,20990.15,130.8
1754103480000000000,20990.15,20991.48,20985.58,20987.32,383.2
1754103540000000000,20987.32,20990.30,20986.20,20987.11,196.0
1754103600000000000,20987.11,20991.11,20981.42,20982.84,187.7
1754103660000000000,20982.84,20984.12,20976.99,20978.00,68.1
1754103720000000000,20978.00,20978.37,20975.64,20978.09,359.3
1754103780000000000,20978.09,20982.48,20972.10,20981.77,165.2
1754103840000000000,20981.77,20982.89,20976.16,20981.18,61.2
1754103900000000000,20981.18,20985.17,20978.91,20981.25,166.1
1754103960000000000,20981.25,20982.26,20981.23,20981.52,173.0
1754104020000000000,20981.52,20987.25,20980.78,20987.02,122.6
1754104080000000000,20987.02,20989.16,20982.09,20987.90,201.4
1754104140000000000,20987.90,20988.20,20985.06,20986.23,371.8
1754104200000000000,20986.23,20987.39,20984.05,20987.05,60.6
1754104260000000000,20987.05,20989.51,20982.17,20987.80,64.2
1754104320000000000,20987.80,20988.01,20987.42,20987.96,140.0
1754104380000000000,20987.96,20992.44,20982.57,20985.92,145.3
1754104440000000000,20985.92,20991.66,20982.22,20984.69,300.8
1754104500000000000,20984.69,20986.59,20983.04,20983.05,314.5
1754104560000000000,20983.05,20988.55,20979.25,20988.02,58.5
1754104620000000000,20988.02,20989.43,20985.17,20989.24,383.9
1754104680000000000,20989.24,20991.56,20987.74,20989.38,222.7
1754104740000000000,20989.38,20994.95,20988.28,20993.63,308.5
